Name,SMILES
agan1,CC1=CC(=NC(=N1)N2CCC(CC2)(F)F)NC(=O)C3=C(C=C(C=C3)NS(=O)(=O)CCO)N4CCC5(CC5)CC4
agan2,c1(c(ccc(c1)NS(CCO)(=O)=O)C(Nc1cccc(c1)N1CCC(CC1)(F)F)=O)N1CCC2(CC1)CC2
agan3,c12ccc(cc1C1(CN2C(c2cc(ccc2)S(NC(C)(C)C)(=O)=O)=O)CCC2(CC1)CC2)NS(C)(=O)=O
agan4,c1(c(ncc(n1)NC(CO)(C)C)C(Nc1cccc(n1)S(NC(C)(C)C)(=O)=O)=O)N1CCC2(CC1)CC2
agan5,c12c(cc(cc1N1CCC3(CC1)CC3)NS(CCO)(=O)=O)ncnc2Nc1cc(cc(c1)N1CCC(CC1)(F)F)C
agan6,c1(ccc(cc1N1CCC2(CC1)CC2)NS(CCO)(=O)=O)-c1sc2c(n1)cccc2N1CCC(CC1)(F)F
agan7,c1(ccc(cc1C1CCC2(CC1)CC2)NS(CCO)(=O)=O)C(Nc1cc(nc(n1)N1CCC(CC1)(F)F)C)=O
agan8,c1(ccc(cc1N1CCC2(CC1)CC2)NS(CCO)(=O)=O)-c1cc(ncc1)N1CCC(CC1)(F)F
agan9,c12c(cc(cc1N1CCC3(CC1)CC3)NS(CCO)(=O)=O)ncnc2Nc1cccc(c1)C
agan10,c1(ccc(cc1N1CCC2(CC1)CC2)NS(CCO)(=O)=O)-c1nc2c(s1)cccc2N1CCC(CC1)(F)F
